RUC,company,total
1101098-1-559827,BIGANT GLOBAL CORP,152
2366800-1-800154,GEA CENTRAL AMERICA S.A,152
2000362-1-740079,MELO INTERNATIONAL HOLDIN  S A,152
31946-24-245567,ALMACENES GENEVA S.A.,152
942774-1-524128,CUBEX BIKE  S A,152
E-8-86477,JINGHUA FAN,152
1872275-1-717343,NUTRICEREALES DE PANAMA  S A,151
2022481-1-743571,CENTRO DE MATERIALES Y DEC.LP,151
1997538-1-739654,DISTRIBUIDORA F L G   S A,151
4-790-468,MOHAMAD HANI ASLAS/EL BOMBAZO D. LA,151
8-754-1636,ANYA JIMENEZ,151
948876-1-525407,PIXEL MEDIA PUBLICIDAD S A,151
2658244-1-841805,"TOPLOGISTICS, INC",151
2606483-1-834679,MST INTERNATIONAL GROUP S.A,150
20385-204-184757,EUROPANAME#A S A,150
2456194-1-812918,CORTINAS MODERNAS S.A.,150
56876-24-337263,TRULY NOLEN DE PANAMA  S A,150
1807107-1-706515,CONSEIN  S A,150
2116077-1-759393,DIST. DE MAT. DIDACTICO S.A.,150
1226890-1-1391,UNION ELECTRICA S A,150
E-8-40-929,SUN FAT CHEUNG/IMPORTACIONES SUN FAT,150
1135891-1-568389,INVERSIONES EDUCATIVA  S A,150
52535-2-324839,PLASTICOS ARENALES PANAMA,150
8-886-306,AMY PAULINA LUO CHUNG,150
E-8-83579,HUITING TANG *AMP.IMPORKAM*,150
2618347-1-836346,RAINSTAR PANAMA CORP,149
4-760-2451,CHADIA CHARIFA LAZTIA CHAVEZ/EL CARNAVAL DE LAS OFERTAS MACARACAS,149
34704-37-257355,DELACE IMPORT & EXPORT CORP S A,149
1006035-1-537136,ARGAMAN PANAMA   S  A,149
1720335-1-690209,PROYECTOS BELLINGER  S A,149
N202286,AUTO CENTER FASHION,149
276-303-61446,COMPA IA AGRICOLA INDUSTRIAL S A,149
155609150-2-2015,"GELATO & CO PANAMA, SA",149
1071-273-118117,REPRODUC Y ORIGINALES S A,149
2390144-1-803457,SELECTA PROJECTS S.A,149
937189-1-522924,ALMACEN YINSA  S A,149
1138899-1-569100,JBDIESEL  INC,148
44392-92-295542,PAIS S A,148
155609668-2-2015,"ALKEMY PANAMA, SA",148
8-842-2090,SERGIO MANUEL BATISTA RODRIGUEZ,148
2136284-1-762928,DISTRIBUIDORA DE MAQUI. P. L C,148
155603267-2-2015,"LAMPARAS Y DEFENSAS, SA",148
155654478-2-2017,"AGENCIA MARJO SOLAR, S.A.",148
2432380-1-809423,BC FERTILIS S.A,148
2286246-1-787769,VALERIE FASHION S.A.,148
1933474-1-728500,AGENCIAS PRIMOR S A,148
155599901-2-2015,"GM ACABADOS, SA",147
666169-1-462047,CREAZIONI S A,147
155611651-2-2015,BATTERY GIANT PANAMA S.A.,147
8-888-825,ERIC QIU YE/BOUTIQUE I-FASHION,147
603920-1-452147,ABASTECEDORA GLOBAL S A,147
155598693-2-2015,"ELECTRO DIESEL, S.A.",147
14719-70-142893,MATERIALES IBA#EZ S A,147
9-166-430,MARITZABETH MU?OZ / DIST. MEYCAR,147
52731-193-325028,COMERCIALES ORTEGA E HIJOS S A,147
782613-1-488662,THE BRISTOL RESORT S A,147
2336282-1-795550,"FRIDAMA PANAMA, SA",147
YB069967,SHADI SHEHADEH SHEHADEH,147
2170280-1-768559,PANAMA GLOBAL TRADING CENT.S.A,146
990214-1-534038,AUTO RESPUESTOS MOMAX S A,146
869105-1-508707,AVIFARM  S A,146
1255-519-126037,CENTRAL DE TUERCAS Y TORNILLOS S A,146
8-510-452,JORGE CHUNG / ALM. LA ESPERANZA,146
60107-38-345986,SAFETY GARAGE PANAMA S A,146
8-906-44,JUAN GABRIEL GAN CHONG (AMP. MAYORISTA FELIPE),146
528890-1-965786,"PURATOS DE PANAMA, S,.A.",146
2536764-1-824309,AZUL PARADISE,146
3-711-2307,JAIME TSANG NG (AMP. JACQUELINE'S STORE),146
2019877-1-743220,SOLUCIONES VETERINARIAS  S A,146
2206715-1-774227,ALTERNENERGY NET INC,145
9-153-628,ADA MARIA VERGARA,145
12657-86-125359,MEDITEC S A,145
1683856-1-682869,TURKI INTERNACIONAL S A,145
8-900-2364,ALMACEN MUNDIAL,145
60736-67-347558,SOLUCIONES EN CONECTIVIDAD  S A,145
1548314-1-656922,ICADEL SURVEY  RENTAL AND SALES INC,145
2104347-1-757420,"EDILPANAMA,S.A",145
2647605-1-840319,BRANDS AND PRODUCTS  S.A,145
2295475-1-789247,REPUESTOS Y SERVICIOS DOE SA,145
29530-58-236934,CALPARTES S A,145
2652909-1-841066,GENERAL SERVICES AND SUPPORT,145
24206-1-367305,AQUA CURE S A,145
155641102-2-2016,"LA MARQUETA D.F. VIP, S.A.",145
48459-73-719,SANTILLANA S A,144
1711772-1-688592,LABORATORIO OPTICO DE PANAMA  S A,144
2349362-1-797495,MARINE DIESEL AND REFRIG INC,144
68364-1-373666,AMERICAN RAGS S A,144
PE-7-849,DAVID LEVY SABBA,144
155607221-2-2015,"PANAMA BREWERS, S.A.",144
155595807-2-2015,SUMINISTROS. IND. DIV. PANAMA,144
1954527-1-732432,DISTRIBUIDORA EL BISONTE  S A,144
31252-131-242349,ESPECTACULOS Y DIVERSIONES MECANICAS S A,144
1556389-1-658255,EXPERT LTD  INC,144
39609-21-276244,OZERO INC,144
4-256-278,OFFICENTER PLUS/LUIS MIRANDA ZURDO,144
370948-1-420312,POWER  CLUB   S A,144
155667672-2-2018,"ASARI CENTROAMERICA, S.A.",144
155644716-2-2017,SERTEINSA PTY INC,144
1889101-1-720553,INGENIERIA QUIMICA C A  CORP,144
558-10-100038,ESTACION VILLA LILLA S A,144
1041103-1-545149,MEPAL S A,144
155661562-2-2018,"RUSSELL MINERAL EQUIP.PAN, S.A",144
2442127-1-811019,VIKI GROUP S.A.,144
155617580-2-2015,QUICK MARKETING S.A.,143
35425-26-259985,INVERSIONES E A T S A,143
55801-92-334445,KAREYS CORPORATION,143
8-NT-2-574,EMBAJADA DEL JAPON EN PANAMA,143
2233156-1-778324,SUIMPORT LOGISTIC S.A,143
1198172-1-581418,BARKAT  S A,143
456498-1-432343,PANAME,143
819242-1-499878,OFIR S A,143
5458-162-67519,DHL PANAMA,143
2476616-1-815608,"GRUPO E INVERSIONES LUO, S.A",143
2590904-1-832286,"VIGO IMPORT PANAMA,S.A",142
150-291-38284,CLINICA HOSPITAL  SAN FERNANDO S A,142
1928142-1-727587,DISTRIBUIDORA DE MUEBLES CALLE 14  S A,142
24739-28-214415,CONFECCIONES DICAR S A,142
1878795-1-718650,DOCUSOLUTION  S  A,142
1252093-1-593466,WHOLE FOODS  S A,142
9-113-313,EMILIANO OLAVE CASTRO,142
N-21-1495,FADI MOHAMAD ASLAM/LAS OFERTAS DEL DOLAR,142
56172-2-335370,HELIFLIGHT PANAMA S A,142
1393554-1-626606,ADEMINSA CENTROAMERICANA  S A,142
53138-2-326853,SERMARU S A,142
2448448-1-811891,TUBOPEX S.A.,142
155618182-2-2015,D.O.L. CREATIONS,142
1114072-1-562834,GRANELO PIELES  S A,142
8-923-129,PREMIUN RUSH,142
51572-80-321618,BLOANGUI S A,141
736411-1-476637,SISTEMAS Y SOLUCIONES TECNOLOGICAS INTERNACIONALES  S A  S S T I,141
N-19-2405,AUTO CENTRO SAN FERNANDO,141
1054246-1-548350,NUSRET  S A,141
2390668-1-803516,CMJ SAFETY SUPPLY GROUP INC,141
43174-34-290776,ZINC Y CARRIOLAS S A,141
993135-1-534634,MEDIDENTAL  S A,141
476379-1-435022,RTA DIGITAL INC,141
2263687-1-783865,GRUPO DK S A,141
155647419-2-2017,"BORDA COSTURA, S.A.",141
155613436-2-2015,"FNS INTERNATIONAL PANAMA, SA",141
39678-84-276530,INMOBILIARIA SLAJA S A,141
254163-1-403564,INDUSTRIA PANAME?A DE PLASTICOS S A,140
155646794-2-2017,"SIESA PROYECTOS, S.A.",140
351784-1-417614,"ANZAI,S.A.",140
1024545-1-541246,AGRO AGIL PANAMA S A,140
24096-123-211135,CONTINEX INTERNACIONAL S A,140
2215382-1-775591,MASAGRO S.A,140
155602426-2-2015,PANAMA SHIP CHANDLING S.A.,140
2604432-1-834379,INVERSIONES MELKART DE PM,140
1848983-1-713361,TECHLIFE  INC,140
920288-1-519178,WDM WATER SYSTEMS S.A.,140
155657849-2-2017,DISTRIBUI.CENTRAL DEL HOGAR SA,140
2623119-1-836981,A TU SERVICIO PANAMA S.A,140
1948211-1-1770,WRIGLEY CSAC EXPORT  S DE R L,140
1589471-1-1352,VISIONS PARTNERS,140
4-218-924,DAVID ALBERTO MIRANDA GALLARDO,140
2518837-1-821503,MGD CORP,140
40979-25-281810,GLOBAL BANK CORPORATION,139
54134-43-330102,PETS & MORE PANAMA S.A.,139
155639713-2-2016,INDUS.CAMARONERA DE PANAMA SA,139
623230-1-455156,VELSIMEX DE PANAMA  S A,139
2329440-1-794283,"COSMEPLAST PANAMA, S.A.",139
2122313-1-760567,FALCO SISTEMAS S A,139
1898573-1-722195,EBIS S.A,139
8-822-684,AUTO REPUESTOS EL VENTUROSO,139
2668468-1-843222,DISTRIBEAUTE S.A.,139
2371182-1-800730,CREATIV COCINAS INTL S.A.,139
2463989-1-2253,BEST PANAMA FROYO INC,139
155623085-2-2016,MOTOS BST S.A.,139
1-730-780,ISMAEL PALACIO ABREGO,139
1411087-1-629901,DAMAYI SELLECTION S A,139
1536-20-6142,VICARIATO DEL DARIEN,139
2390229-1-803472,"FUN FOODS GROUP, INC",138
30392-2-238623,PANAMA TRUCKING CORPORATION,138
9-166-430,MARITZABETH MU,138
14103-2-137446,ASCENSORES GOLDSTAR S A,138
934439-1-522380,DISTRIFRUVER  S A,138
8-789-1623,RURUDA,138
155643654-2-2017,"CRISEMA, S.A.",138
838815-1-503154,DIGITALIZA  S A,138
1657703-1-676974,RM GROUP INVESTMENT CORP,138
502431-1-435913,DESIGN EXPRESS S A,138
2387034-1-802998,TECNIMETAL PANAMA SOCIEDAD A.,138
155591839-2-2015,PANAGLASS INVESTMENT CORP,138
2144353-1-764308,ATHANASIOU S.A,138
1299325-1-605134,DIGITAL PHOTO SUPPLY  S A,138
2462149-1-813685,CENTRO AMERICANA DE S.Y C.,138
155637354-2-2016,ECO DRY CLEANERS S.A.,138
155640317-2-2016,REPUESTOS TECNOAUTO S.A.,138
924109-1-520079,SURTIMEDICOS,137
2155843-1-766158,SG FOODS LATINOAMERICA S.A,137
15122-168-146235,EL MUNDO DE LOS GLOBOS S A,137
2475330-1-815412,"SUVLAS, SA",137
443769-1-430524,SISTEMAS FORD  S A,137
2333453-1-794996,"DISTRIBUIDORA BERLIN, S.A.",137
1231940-1-588906,TECNOALIMENTOS  S A,137
63413-2-354934,SERVICIOS TECNO DE INCINERACION S A,137
413-2-10283,HOSPITALIA S A,137
155627263-2-2016,COMERCIALIZADORA ZHU CENTER SA,137
339533-1-415951,COMERCIALIZADORA SAID E HIJOS S A,137
658068-1-460761,BYTECOM  INC,137
497-106-106330,WARTSILA PANAMA SERVICES S A,137
155636802-2-2016,COMERCIALIZADORA OM S.A.,137
155620007-2-2015,STOP 4 PARTY SA,137
1107763-1-561330,XIMA GROUP S A,137
155605092-2-2015,"TALLER ONLINE, SA",137
E-8-89997,DISTRIBUIDORA FIESTA UNIVERSAL,137
1626402-1-671067,MILLENIUM BEVERAGE S.A,137
8-NT-1-12532,AUTORIDAD MARITIMA DE PANAMA,136
791643-1-491589,MEPA  S A,136
100610743,TONNY HUGO STRULOVIC FINKELSTEIN,136
2020603-1-743304,UOMO CLOTHING INVESTMENT  S A,136
9-NT-2-17430,COOPERATIVA DE SERVICIOS MULTIPLES PANAME,136
1946797-1-731067,IMPORTADORA BARMED  S A,136
403079-1-424708,IMEXSATEC S A,136
1883190-1-719531,AEGEAN NATURAL QUALITY PRODUCTS  INC,136
155642942-2-2017,"UNIFEZ, S.A.",136
90307-1-377092,DISTRIBUIDORA IBERICA S A,136
207-163-49793,BOLSAS Y CARTUCHOS DE PAPEL S A,136
155625756-2-2016,"DIELITEW PANAMA, SA",136
155597085-2-2015,"INVERSIONES ESTRADA PANAMA, SA",136
MU4667344,MASAHIKO WATANABE,136
3-67-617,EDUARDO TORRES,135
65565-8-361601,ECONOUTILES DE CHITRE S A,135
2639495-1-839265,PROFIX SUPPLY INC,135
155635267-2-2016,"BEST WAY INTERNACIONAL, S.A.",135
2043955-1-746854,QUALITY  PRODUCTS PANAMA S.A,135
233107-1-400353,"ZHONGCRATES,S.A.",135
5040-3-64193,BOLIVAR INTERNATIONAL PANAMA S.A.,135
60594-75-347199,BIOMEDICAL SUPPORTS & SYSTEMS INC,135
1175-352-23818,CALDERAS Y LAVANDERIAS IND S A,135
703581-1-469262,UNICORNIO ENTERPRISE S A,135
8-884-1626,TERRY ZHANG YAO/ALM.TERRY,135
2502015-1-819146,TRADEPARTS PANAMA S.A.,135
285819-1-408008,DISTRIBUIDORA ABC S A,135
2415473-1-807041,BARUC IMPORT & EXPORT INC,135
2358942-1-798963,D&D 21 PANAMA S.A,135
E-8-106619,JOHN GRAY,135
52745-46-325695,DIVERSIONES PANAMA 2 S A,134
42058-135-286416,INTREP S A,134
933749-1-522211,ARISBER  S A,134
283-46-62528,PANAMAR S A,134
155661439-2-2018,"GRUPO DUX, S.A.",134
936813-1-522817,PANAMAPRO  S A,134
53887-45-329374,ACADEMIA VASCO NU,134
18255-16-170050,LA ESQUINA AGROPECUARIA S A,134
E-8-76579,HUILING QIU DE CHONG,134
46493-14-303843,GRIGIO CORP,134
898-241-102416,PRICESMART PANAMA S.A.,134
2214422-1-2065,HANSGROHE SE,134
1159297-1-573408,INVERSORA MMP  S A,134
946-295-107053,RADIADORES PANAMA S A,133
1161870-1-573895,DISTRIBUIDORA DE HIERRO Y ACEROS  S A  (DISTRIHIERROS),133
155599794-2-2015,CLIMB MARKET CORP,133
2215602-1-775620,SANTOS GRUPO PANAMA S.A.,133
155589348-2-2014,TECHNICAL SOLUTION FOR INNOVAT,133
1874071-1-717691,HUSQUY PANAMA  CORP,133
TK7718954,SHINJI KOMATSUZAKI,133
1145170-1-570504,PARSIM  S A,133
E-8-86477,JINGHUA FAN / DISTRIBUIDORA CENTENARIO,133
40844-9-281349,SEA TECHNOLOGY INC,132
2152792-1-765618,SAMPOL PANAMA S.A.,132
1914-2-7458,BENEDETTI & BENEDETTI,132
1124106-1-565190,PRIME ARMOR PANAMA S A,132
215818-1-397678,ADVANCED TECHNO PRODUCTS INC,132
2173172-1-769078,AVATAR SISTEMAS  INT S.A.,132
6-707-199,"GRUPO AMADA,S.A",132
155666789-2-2018,ING.ESP. Y CONSTR. S.A.(IECSA),132
1860030-1-715207,INVERSIONES OFFICE BOOK S A,132
N-19-2404,ROUTE 66,132
155607308-2-2015,MGM SUSTAINABLE ENERGY PANAM,132
155640940-2-2016,"FOOTWEAR HIDALGO, S.A.",132
2112580-1-758813,AGROCENTRO PANAMA S.A,132
817-219-17787,HAVELLS SYLVANIA PANAMA  S  A,132
222376-1-398615,FEDERAL SECURITY SERVICES  S  A,132
48192-119-320004,CONSTRUCTORA RIGA SERVICES S A,131
155662235-2-2018,"CHILDREN LAB, S.A.",131
155594213-2-2015,"MAMUT DE COLOMBIA, SAS",131
8-777-2300,RENZO AUTOMOTIVE (BENITO WAN),131
155622409-2-2016,"IPS, SA",131
2269307-1-784846,CARIBBEAN SELECTIONS CORP,131
40033-84-277975,CHAPI AIRE S A,131
430990-1-428828,FARA INTERNACIONAL S A,131
2559255-1-827527,GRUPO XDS 2014 S.A,131
8-910-1492,DRAGON IMPORT,130
2050217-1-747894,TRAVEL GEAR PANAMA INC.,130
1529258-1-653134,COMPA?IA SEREEN S A,130
2350479-1-797647,"ISTC PANAMA, S.A.",130
527668-1-439579,YAZUR S A,130
13314-78-131200,T W T INC PANAMA S A,130
2057504-1-749061,VINILOS Y ESTUCOS DE PANAMA SA,130
1331857-1-613107,DISTRIBUIDORA BERGUIDO  S A,130
155654089-2-2017,ECCO CACC TRADING INC,130
2506460-1-819719,"NESCORP, SA",130
2301665-1-790006,GRUPO ALUMAN PANAMA S.A.,130
2255727-1-782367,"LINC INTERPORT, SA",130
155612192-2-2015,MIRACLEY PLAY S.A.,130
155637214-2-2016,NAMKYONG PANAMA S.A.,130
7620-34-82753,AUTO REPUESTOS BAYANO S A,129
1927821-1-727506,FERRER PANAMA  S A,129
42473-2-287965,ADMINISTRADORA DE PROY DE CONSTRUC S A,129
60116-13-346017,TECNISOFT S A,129
2502920-1-819325,TECHNOVA INTERNATIONAL CORP,129
655-419-132915,FARMACIAS REVILLA S A,129
2531905-1-823572,BUCEO PANAMA S.A,129
155608067-2-2015,"INNOVAMED PANAMA, SA",129
2566550-1-828708,AGRICOLA PANAVEN S.A,129
23109-113-205808,SABRA S A,129
4-137-687,OVIDIO PEREZ/GRUPO OVIMAR COMERCIAL,129
1806240-1-706342,GLOBAL TRADING IMPORT & EXPORT  S A,129
2587310-1-831868,GRUPO BIO S.A,129
52887-52-326145,QUICK SERVICE SUPPLIES S A,129
2482516-1-816472,BODYLOGIC DE PANAMA SOCIEDAD,129
158-116-39692,CONCRETO S A,128
155611634-2-2015,"AMBCIN INDUSTRIES, SA",128
40893-2-281525,GRUPO MIL S A,128
1073639-1-552723,VIDRIOS Y ALUMINIOS S A,128
43259-18-280848,BENCO ENTERPRISES S A,128
3393-136-50801,ININCO S A,128
2283016-1-787251,PETROPLASTIC PANAMA S A,128
64990-2-359767,DISTRIBUIDORA MEDICO PANAME?O S A,128
311937-1-411648,NEW APPAREL S A,128
2612806-1-835615,SKY AMERICAN GROUP S.A.,128
PE-11-1359,AUTO REPUESTO 89,128
1977495-1-736464,ACRE SURVEYING SOLUTIONS PANAMA  S A,128
36936-112-265467,HACIENDA EL RODEO S A,128
1426865-1-633206,GRUPO BRILLANTE  S A,128
8-726-880,DISTRIBUIDORA DE FLORES FRESCAS,128
1889228-1-720603,DELTA DUPLA BLU  CORP,128
34534-47-256585,OPTICA CENTENO S A,128
512687163.,WILLIAM WALTER KRUEGER,128
155613122-2-2015,"GOOD FOODS PANAMA, SA",128
603941-1-452150,SMART DEVELOPMENT SYSTEMS DE PANAMA S A,127
4-147-24825,EDGARDO ARIEL CEDE?O,127
2286484-1-787823,G & G PARTES Y SERVICIOS S.A,127
2185998-1-771080,MANAVI CORP,127
31276-185-242477,COMMERCIAL CENTER DEVELOPERS INC,127
TR3166236,TORU TSUBOSAKI,127
1087313-1-556063,SABO INTERNATIONAL DE PANAMA  S  A,127
1081349-1-554555,CETEBEDI PANAMA  S A,127
1965631-1-734310,POWER INDUSTRIES  S  A,127
991066-1-534203,SOCIEDAD VETERINARIOS OSABRA  S A,127
2485136-1-816794,"GRUPO COMERCIAL HATZLAJA, S.A.",127
19867-79-180839,PLASTICOS MULTICOLOR S A,127
155591379-2-2015,DISTRIBUIDORA PANAMA PACIFIC,127
50533-22-318586,FORMAS TECNICAS S A,126
1449693-1-637936,EXPORTACION  E IMPORTACION MARIE CLAIRE  S A,126
1804209-1-705931,LA CASITA DE NAVIDAD  S A,126
3722-20-53648,REFRIGERACION VERGARA S A,126
28179-109-230514,MUTISA S A,126
4-203-148,ARNOLDO RODRIGUEZ,126
2124700-1-1991,COBRA INSTALACIONES Y SERVICIO,126
203325-1-395672,INDUSTRIAL SCALES OF PANAMA S A,126
1463709-1-640302,MJM ELECTRONIC GROUP S A,126
8-779-1146,JOSE LIU CHEUNG,126
2595565-1-833039,A C L SERVICIOS S.A,126
959164-1-527572,INDUSTRIAS BASICAS  S A,126
1124981-1-565364,DAVEXPORT  S A,126
155654371-2-2017,ELITE BRANDS CORP,126
2160048-1-766782,FARYVET DE PANAMA S A,126
1707464-1-687811,IMPORTADORA NOEL  S A,126
1409572-1-629580,DAYMA  S A,126
393316-1-423344,"FESTIEVENTOS, S.A.",126
1253524-1-593795,ARCHER DISTRIBUIDOR S A,125
155629720-2-2016,AGRO MALLAS S.A,125
188926-1-17088,FUNDACION AMADOR,125
765116-1-483678,ROYAL CONSTRUCTION PANAMA  S A,125
2292821-1-788848,COLEQUIPOS S.A,125
1676240-1-680948,OPTICAS METRO  S A,125
478044-1-435262,MEDICAL SURGICAL PRODUCTS S A,125
E-8-89853,HUANG JIMING,125
234-591-5877,HERMANOS PALACIOS S A,125
1555951842-2-2015,"DESTREZA PANAMA, SA",125
2203561-1-773678,GRUPO ARGENTINO DE INVERS. S.A,125
155605971-2-2015,"GRUPO EMPRESARIAL OCA?A, SA",125
155600382-2-2015,"KISSA PANAMA, SA",124
2471077-1-814897,C4 INTERNACIONAL S.A,124
3178-169-48737,IMPRENTA EDICANO S A,124
155610103-2-2015,GRUP MEL INTERNACIONAL S.A.,124
4-716-1500,KENIA LEZCANO,124
155640013-2-2016,RIO CLARO CDE CORP,124
926-561-107324,ENVASES MODERNOS S A,124
1737758-1-693722,STENDHAL PANAMA  S A,124
2017799-1-742832,INTERNATIONAL OCC  S A,124
1631417-1-671923,SI DU DI  S A,124
2663928-1-842592,DIESEL TRUCK CENTER S.A,124
1555877097-2-2014,"DISTRIBUIDORA VIT, SA",124
939634-1-523427,SOFY FASHION  S A,124
2306585-1-790650,"DISTRIBUIDORA COMERCIAL C.,S.A",124
800219-1-494714,DISTRIBUIDORA SERVIFRENOS S A,124
895072-1-513755,ARNEG PANAMA  S  A,124
155635169-2-2016,ACINO PHARMA PANAMA S.A,124
2365650-1-799916,EDUCATIONAL FURNITURE & T. S.A,123
2351093-1-797756,"K & M.18 INVESTMENT GROUP,S.A.",123
1285186-1-601563,ACCES INVERSIONES   S A,123
1921298-1-726205,GRUPO SEJIM DE PANAMA S A,123
1720802-1-1621,CONSTRUCTORA QUEIROZ GALVAO S A,123
155604392-2-2015,GLOBAL QUIMICA PANAMA S.A.,123
9-221-1097,EL BARATON DEL PUEBLO,123
155626941-2-2016,"ALIFRUVER, S.A.",123
1169150-1-575716,INVERSIONES TAGORE PANAMA  S  A  (INTAPASA),123
2161152-1-766983,FASHION DIAKARR CHIRIQUI S.A.,123
34008-39-254187,PANAMA SHOOTERS & ARMS SUPPLIES S A,123
24279-1-367317,"APOTEX PANAMA, S.A.",123
4-99-2563,GREGORIO ATENCIO,123
1657351-1-676928,REPRESENTACIONES AJA  S A,123
1100276-1-559554,EMPRESA NACIONAL DE ENERGIA  S A  EMNADESA,123
3-73-1944,SANDRA MIREYA GOMEZ BERNAL,123
1894435-1-721523,GREEN PLANET SUPPLIES  S  A,123
1772673-1-700278,JJJV TRADING S.A,123
2063937-1-750262,EUROMOTORS S A,123
155611755-2-2015,MAX  DISTRIBUIDORA S.A.,123
34314-146-255566,IMPORTADORA CENTROAMERICANA S A,122
EMBAJADADEALEMANIA,EMBAJADA DE ALEMANIA,122
201367-1-395411,EL RODANTE  S A,122
1246212-1-592208,"MAXILUB, S.A.",122
262546-1-404734,AMERICAN FURNITURE DESIGNS,122
155602493-2-2015,"STADIUM SOURCE, SA",122
2109451-1-758251,PLAYA ESCONDIDA BEACH FRONT SA,122
N-18-921,FELIX CHU LEUNG,122
8-822-606,JAIME Y CHEUNG/ASTRO AUDIO SYSTEMS,122
1572007-1-660888,MADMARKET TRADING  S A,122
2482348-1-816443,CENTRAL DE REPUESTOS H & L,122
155657790-2-2017,"MULTIFOOD ENTERPRISES, S.A.",122
8-216-421,DAVID RODRIGUEZ,122
4-790-468,MOHAMAD HANI ASLAN/EL BOMBAZO D. LA,122
15455035,DARIO BOLIVAR,122
8-742-437,BELGICA DEL CARMEN,122
50033-29-316924,PIROTECNICA CORDOBA S A,122
155634314-2-2016,ANISSON CO LTD S.A.,122
1729995-1-692231,ROMO AUTO  S A,122
8-888-888,DISTRI FLOWERS PANAMA,122
2541125-1-824907,"BIOEXPORT PANAMA, SA",122
155621877-2-2016,SUPERCENTRO KENDA,122
2276208-1-786038,FIRE PROTECTION OF THE A. S.A,122
1731556-1-692593,EMPAQUES LEADER  S A,122
8-521-1613,AMOR MARQUEZ NIL,121
479-204-106073,AGENCIA PANAME#A DE PUBLICACIONES S A,121
8-260-1076,DAPHNE RUSODIMOS TINIACOS DE HUMBERT,121
1718328-1-31772,CLAMOR DEL CORAZON MINSTERIO A LOS NI?OS,121
1983323-1-737378,DHCASA PANAMA  S A,121
426918-1-428180,"MULTIMED SOLUTIONS PANAMA, INC",121
155619439-2-2015,LATIN AMERICA MUSIC WORKSHOP,121
155657591-2-2017,GREEN FASHION,121
967-109-105730,SEGURIDAD ELECTRONICA S A,121
1118823-1-563857,INTEROCEANIC SUPPLY SERVICES S A,121
32236-1-368341,FONCHY FRUITS S A,121
2464395-1-814008,AGRO FLORES S.A.,121
155643349-2-2017,FERREMASTER,121
155643465-2-2017,SIDLASA,121
46982-112-305682,DISTRIBUIDORA ADEMCO S A,121
1720335-1-690209,PROYECTOS BELLINGER S A,121
2542844-1-2305,"EDEMTEC, SA DE C.V.",120
155599490-2-2015,STELLA MARINE GROUP.PANAMA S.A,120
155590390-2-2015,"PRO-LLANTAS, SA",120
2014438-1-742345,SOLUCIONES LM  S A,120
1546704-1-656592,MADERAS Y RESFORESTADORA S A  (MARESA),120
1471971-1-642162,GIGA ELECTRONICS  S A,120
8-491-716,NEDELKA TORRENTE/AGENCY CREATIVE,120
1127401-1-566025,ATZ PANAMA S A,120
1620168-1-670094,PANALUB  S A,120
155599495-2-2015,"INDUSTRIAS ALTAGRACIA, SA",120
561637-1-445123,FELIX COMERCIAL S A,120
2625352-1-837265,"MT & ACCESORIOS, S.A.",120
57281-90-338395,TARJETAS TECNICAS S A,120
2601135-1-833904,NEGOCIOS CINEMATOGRAF. INTER.,120
8-240-647,ARIADNA CATTAN,120
155600520-2-2015,"ESTRUCTURAS Y PISOS PANAMA, SA",120
2175771-1-769534,DECORFOAM S A,120
9-153-628,ADA M VERGARA A,120
1-711-632,DESIDERIO JOSE BAKER,120
368-464-81180,HERES Y HERES S A,119
1727778-1-691699,DIMEDICFARM INC,119
268353-1-405703,SITEL PANAMA S A,119
155629321-2-2016,FIRST AID BOTIQUIN PANAMA INC,119
E-8-55441,CARLOS LIBERONA,119
91966430,KARL SEBASTIAN GREENWOOD,119
2571197-1-829500,REFEEL PANAMA S.A,119
609074-1-452856,INGENIERIA EN METALES Y CRISTALES  S  A,119
1129184-1-566509,CELSIA CENTROAMERICA S.A.,119
356566-1-418315,PANAPLAK S.A.,119
2210174-1-774756,"PANAME?A DE BELLEZA , S.A",119
1349221-1-616893,SAMMY FASHIONS S A,119
15094-101-145958,FORMAS UNIVERSALES S A,119
4-70-945,OTTO SOREN WALD,119
1352924-1-617833,DYNAMIC CONSTRUCTIONS  INC,119
8-510-452,JORGE CHUNG / ALMACEN LA ESPERANZA,119
35850-9-261453,VIVERES UNIDOS S A,119
2488932-1-817423,PENECO 23 S.A,119
8-741-1584,LEONARDO RODRIGUEZ,119
8-492-845,AIDA MARIA AGUILERA CRESPO DE RATNER,119
1777035-1-701118,AQUAPANA S A,119
633-238-107167,SERVICIOS ALIADOS S A,118
607624-1-452660,TRABLOS  S A,118
2501547-1-819088,"TU MONTACARGA, S.A.",118
4-134-2736,SANTO FILITO VEGA,118
13-NT-2-717498,DISTRIBUIDORA ABF,118
923158-1-519852,ORICA PANAMA  S A,118
17806-215-166848,DON DON COMPANY S A,118
52090-108-323391,PAAL  S.A,118
155604012-2-2015,"CERVECERIA CLANDESTINA, S.A.",118
2417478-1-807412,INVERSIONES PAURVICA S.A,118
1428196-1-633562,HYDRO SERVICES PANAMA  S A,118
155621263-2-2016,SUNLEE PANAMA S.A.,118
1982653-1-737289,POLYGROUP PANAMA  S A,118
2182158-1-770482,PROMOTORA LA ENSENADA S.A,118
8-901-1405,ALMACEN Y FERRETERIA TOTO,118
